video_id,channel_id,channel_name,lean,published_at,year,month,view_count,like_count,comment_count
bLoMMvczby8,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-15T20:42:39Z,2025,12,62678,1947,159
CU6ON6aUrn0,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-15T18:18:00Z,2025,12,765979,8743,3606
_nvNsMOovWg,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-14T00:10:10Z,2025,12,86703,3539,200
8SVjPH0syvI,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-13T15:00:21Z,2025,12,152581,5433,429
yYSodXd0PYg,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-12T23:32:51Z,2025,12,61243,1579,66
Wg0pekLrP-c,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-12T22:43:22Z,2025,12,100745,3997,219
8V2wXMA_FmA,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-12T22:20:06Z,2025,12,92484,3150,1238
0NXXEFA6fvQ,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-12T18:00:00Z,2025,12,565511,2589,604
nlSecQcva98,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-12T00:08:17Z,2025,12,71954,2076,153
shGBMSUIV_M,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-11T22:23:15Z,2025,12,62509,2084,754
d3u9nrWUCTE,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-11T20:26:19Z,2025,12,62284,1467,78
ix6TorzapGY,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-11T18:01:01Z,2025,12,582491,3517,855
uneSk7Wn-s0,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-11T15:42:51Z,2025,12,71089,2282,187
UNQsYVgyjFE,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-11T04:30:19Z,2025,12,113397,2031,198
PlO3uN6cdFE,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-10T23:15:23Z,2025,12,33455,1584,209
-8l0fqxNMDQ,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-10T19:57:16Z,2025,12,135128,2253,128
6GfUQXXrw5w,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-10T19:29:03Z,2025,12,524233,2211,995
eYRZdHlobk4,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-09T22:30:32Z,2025,12,72366,2118,262
wP_K_PGIglQ,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-09T22:28:41Z,2025,12,59956,2656,1101
qcYffbGgfV4,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-09T18:23:55Z,2025,12,558466,2794,724
fY4BPd_QzzA,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-09T17:45:07Z,2025,12,64377,2016,63
6KlH_mK4aEY,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-09T15:30:34Z,2025,12,37247,1186,48
FMSbaX35MNU,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-09T00:24:45Z,2025,12,77931,2493,181
j0msXFGQmYg,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-08T22:40:55Z,2025,12,45914,1884,350
iVc-tA3ygk8,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-08T18:00:55Z,2025,12,624857,3586,1242
KSFkbn3U-MU,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-08T00:32:47Z,2025,12,75612,3512,268
Sqyn6ZXg664,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-06T15:01:01Z,2025,12,197749,6853,1077
7LroOglSeWE,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-06T02:07:23Z,2025,12,87039,4264,203
azIoy2IC3Xg,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-05T22:22:55Z,2025,12,29065,1290,339
d0Y3CYSVzic,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-05T18:38:50Z,2025,12,70165,2874,137
BheW_ESM8UQ,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-05T18:00:15Z,2025,12,688198,6667,1222
SUsKx4XhXNY,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-05T00:17:26Z,2025,12,205695,6409,149
dZxqHWfrQR4,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-04T23:07:39Z,2025,12,88497,3573,401
bPLVDorGtJE,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-04T18:00:55Z,2025,12,568304,2814,684
BVbm3Jr2Iag,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-04T15:00:20Z,2025,12,31777,1030,100
T7s4wIX_c58,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-03T23:53:17Z,2025,12,55671,2041,322
_ol73Xfu-RM,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-03T22:00:44Z,2025,12,56917,2006,685
nFUD-YCj_qk,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-03T18:01:07Z,2025,12,614465,5099,1237
TQyuEH-8zWI,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-03T17:00:30Z,2025,12,106118,3180,204
mEa_opIggo0,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-02T23:36:16Z,2025,12,45706,1082,80
JFwgsREU46o,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-02T22:04:23Z,2025,12,25276,1006,320
uqKn_mrxtcs,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-02T18:01:11Z,2025,12,577935,3482,1153
sjC9BH6mtY0,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-02T16:11:22Z,2025,12,101648,3103,242
0IwdHdSHhI8,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-02T01:09:30Z,2025,12,48544,1644,288
DECJ44wi0NI,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-02T00:06:27Z,2025,12,109738,3670,167
