id_2020,id_2016,lib_con_scale,democrat_thermometer,republican_thermometer,youtube_use,election_year
339364,,DK,85.0,0.0,Yes,2020
326177,,Moderate,60.0,30.0,Yes,2020
516802,,Slightly conservative,95.0,5.0,No,2020
418915,,DK,70.0,0.0,Yes,2020
527888,,Moderate,100.0,1.0,Yes,2020
340517,,Slightly conservative,10.0,90.0,Yes,2020
323253,,DK,15.0,0.0,No,2020
365066,,DK,70.0,0.0,Yes,2020
521859,,Slightly liberal,45.0,55.0,Yes,2020
528829,,Extremely conservative,0.0,1.0,Yes,2020
449254,,Moderate,,,,2020
415183,,Slightly conservative,,,,2020
349408,,Liberal,100.0,0.0,Yes,2020
227690,,Conservative,0.0,90.0,Yes,2020
328555,,Extremely conservative,,,,2020
226727,,Conservative,5.0,90.0,Yes,2020
364926,,Slightly conservative,,,,2020
433785,,Conservative,50.0,50.0,Yes,2020
229283,,Liberal,100.0,0.0,Yes,2020
233435,,Moderate,85.0,0.0,Yes,2020
418496,,Moderate,60.0,1.0,Yes,2020
500579,,Moderate,100.0,0.0,Yes,2020
310899,,Liberal,85.0,0.0,No,2020
330787,,Slightly conservative,60.0,0.0,Yes,2020
413538,,Liberal,50.0,0.0,Yes,2020
304986,,Liberal,70.0,0.0,Yes,2020
205775,,Conservative,30.0,60.0,Yes,2020
215017,,Slightly liberal,100.0,0.0,Yes,2020
217617,,Liberal,85.0,0.0,Yes,2020
204475,,Liberal,100.0,0.0,Yes,2020
427773,,Moderate,,,,2020
418175,,Liberal,70.0,0.0,Yes,2020
518211,,Slightly liberal,20.0,5.0,Yes,2020
334611,,Extremely conservative,,,,2020
213288,,DK,85.0,0.0,No,2020
208385,,Liberal,70.0,0.0,Yes,2020
435125,,Liberal,85.0,0.0,Yes,2020
307640,,Slightly liberal,60.0,0.0,Yes,2020
311496,,DK,,,,2020
320278,,Slightly conservative,0.0,85.0,Yes,2020
226611,,Slightly liberal,95.0,0.0,Yes,2020
301659,,Moderate,80.0,0.0,Yes,2020
312246,,Moderate,0.0,30.0,Yes,2020
224950,,DK,25.0,90.0,Yes,2020
425920,,Slightly conservative,,,,2020
229610,,Moderate,70.0,60.0,Yes,2020
314969,,Conservative,0.0,90.0,No,2020
365295,,DK,85.0,30.0,No,2020
516628,,Conservative,30.0,70.0,Yes,2020
209487,,Conservative,,,,2020
207405,,DK,60.0,0.0,No,2020
218399,,DK,,,,2020
520382,,DK,100.0,0.0,Yes,2020
458913,,Slightly conservative,15.0,68.0,Yes,2020
221692,,Conservative,0.0,85.0,Yes,2020
354189,,Moderate,0.0,100.0,No,2020
232111,,Extremely Liberal,100.0,0.0,Yes,2020
423757,,Slightly liberal,100.0,0.0,Yes,2020
508122,,Moderate,,,,2020
200763,,Slightly conservative,40.0,30.0,Yes,2020
348030,,Liberal,85.0,0.0,Yes,2020
334291,,Slightly liberal,100.0,0.0,Yes,2020
339531,,Slightly liberal,85.0,0.0,Yes,2020
204772,,Moderate,85.0,0.0,Yes,2020
218870,,Conservative,60.0,85.0,Yes,2020
419710,,Moderate,100.0,0.0,Yes,2020
431352,,Conservative,15.0,60.0,Yes,2020
454577,,Extremely conservative,0.0,100.0,No,2020
461698,,DK,75.0,0.0,Yes,2020
445801,,Slightly liberal,15.0,85.0,Yes,2020
400938,,Moderate,15.0,0.0,Yes,2020
234438,,Moderate,70.0,15.0,Yes,2020
215093,,Conservative,,,,2020
452748,,Moderate,70.0,15.0,No,2020
433648,,DK,60.0,0.0,Yes,2020
455525,,Moderate,60.0,60.0,Yes,2020
201803,,Slightly liberal,50.0,30.0,No,2020
410010,,Slightly conservative,0.0,70.0,No,2020
355014,,Moderate,,,,2020
428943,,DK,85.0,0.0,Yes,2020
208897,,Extremely conservative,0.0,100.0,Yes,2020
231811,,Liberal,90.0,0.0,No,2020
360443,,DK,60.0,0.0,Yes,2020
357645,,Moderate,50.0,0.0,Yes,2020
232685,,Conservative,0.0,100.0,No,2020
344083,,Slightly liberal,95.0,0.0,Yes,2020
305040,,Moderate,100.0,0.0,Yes,2020
517669,,Extremely Liberal,100.0,0.0,Yes,2020
315207,,Moderate,,,,2020
236311,,Slightly conservative,30.0,85.0,Yes,2020
214816,,Slightly conservative,0.0,100.0,Yes,2020
431987,,Moderate,15.0,85.0,Yes,2020
234407,,DK,40.0,60.0,Yes,2020
207511,,Moderate,85.0,0.0,Yes,2020
201155,,Slightly conservative,30.0,60.0,Yes,2020
314051,,Slightly liberal,,,,2020
440851,,Moderate,85.0,40.0,No,2020
452564,,DK,0.0,90.0,Yes,2020
204390,,Moderate,70.0,0.0,,2020
207696,,DK,0.0,100.0,Yes,2020
213202,,Moderate,70.0,0.0,No,2020
460985,,Liberal,100.0,0.0,Yes,2020
230962,,Moderate,100.0,0.0,Yes,2020
208989,,Liberal,85.0,15.0,Yes,2020
342193,,Extremely Liberal,85.0,0.0,No,2020
426374,,Conservative,15.0,90.0,Yes,2020
216966,,Moderate,,,,2020
332820,,Conservative,100.0,0.0,Yes,2020
466259,,DK,70.0,50.0,Yes,2020
405506,,Slightly conservative,85.0,15.0,Yes,2020
413378,,DK,50.0,50.0,Yes,2020
217846,,DK,30.0,65.0,Yes,2020
516758,,Conservative,70.0,70.0,Yes,2020
