video_id,channel_id,channel_name,lean,published_at,year,month,view_count,like_count,comment_count,title
wiPjkQfMbIY,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-06-22T22:41:09Z,2025,6,652674,25099,4325,BREAKING: Trump DESTROYS Iranian Nuclear Program!
y4FrpFHZzpY,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-06-21T14:01:33Z,2025,6,1045266,29534,1105,Ben Shapiro Reacts to Unwoke Comedians
OaxpwCZAmJk,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-06-15T15:00:37Z,2025,6,642848,21303,3613,Ben Shapiro Reacts To Woke TikToks: ICE Raid Edition | Part 1
sLkvaeu7yiU,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-06-13T03:04:46Z,2025,6,480248,15181,2158,Breaking News: Israel Hits Iran with Targeted Airstrikes
2vjnGeIDIfc,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-06-05T22:16:12Z,2025,6,1204207,37088,7669,Ben Shapiro Reacts | Trump vs Elon: What The Hell Is Going On?
Y4YthYBAqH0,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-05-30T03:00:39Z,2025,5,743100,19542,1910,Brittney Griner called Caitlin Clark A WHAT?!
2T3ycD6w6Rs,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-05-29T21:00:05Z,2025,5,386347,9545,1014,Megyn Kelly Breaks Down the Diddy Trial For Ben Shapiro
E8ocEyhTN-o,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-05-16T03:00:13Z,2025,5,379031,7960,716,AOC continues to think she's an influencer
Fn4R7WVMHlo,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-05-12T22:00:31Z,2025,5,503703,8591,3433,Kanye West just dropped a pro-Hitler song?!
pbPG_Wnhevc,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-05-10T14:01:14Z,2025,5,393346,13855,2345,6 Books You Must Read Before You Die
cVRuLaEJij0,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-04-24T17:00:06Z,2025,4,806514,39834,9716,My Journey To Ukraine and My Interview With Zelensky
DvPNS3gmnzY,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-04-10T22:00:13Z,2025,4,1755082,44590,736,One of Trump's BEST jokes this presidency
MBeUkH0FW4I,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-04-07T19:00:24Z,2025,4,1878041,35466,1749,Elon Musk's zero-tariff stance
bC0oS5RKYwM,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-04-06T00:00:34Z,2025,4,617087,9882,3280,"It isn't hard to make a Superman movie, how did they mess this up?"
HDp83kP4yuY,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-04-02T15:00:24Z,2025,4,1174758,37829,1630,The important detail the 'The Atlantic' failed to mention
bXVn7_XorU8,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-03-29T01:00:25Z,2025,3,2172539,71858,2787,DOGE has found out the most MIND BLOWING things
T-gdmBaZKgE,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-03-13T19:29:16Z,2025,3,741774,48406,1769,John Fetterman begs for Democrats to be NORMAL for once
fGhL7FGb-n0,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-03-12T15:00:54Z,2025,3,816070,17351,1564,How will the world perceive our aim at Canada?
cJsBvjla3Kc,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-03-07T23:00:35Z,2025,3,1545531,34301,1680,OnlyF*** model gets backlash over her $500k Ferrari @TheCommentsSection
astCamNc-zs,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-03-06T00:00:03Z,2025,3,2115366,77576,5110,The SMARTEST Move Trump Made During His Speech
OZ7fi38Wk3I,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-02-26T02:00:17Z,2025,2,5079014,215697,49262,Ilhan Omar thinks Americans are stupid?!
48Uw1S231ro,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-02-17T01:10:34Z,2025,2,1116918,52177,663,The good ol days!
fwUWJtNoDyE,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-02-16T21:00:24Z,2025,2,1879069,91511,1310,Why is it bad to laugh at this?
aS5rtLWxE8Q,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-02-14T20:35:28Z,2025,2,1357729,69182,5300,Blake Lively was CAUGHT on tape admitting she's manipulative
gucMoWjCe98,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-02-09T23:00:30Z,2025,2,1418593,96078,1331,HILARIOUS reaction to finding out you're having triplets
tHwbxOEydCo,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-01-27T23:00:49Z,2025,1,1636985,84095,1422,Trump gets Colombia to cave while golfing?!
2Qsx25t_ubA,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-01-27T20:00:02Z,2025,1,1962972,64491,1534,Trump is the MASTER of trolling
NXmq1WGnOL8,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-01-18T00:00:18Z,2025,1,1106277,24751,4339,Will Blake Lively Ever Recover From This? | w/ Megyn Kelly
-MlZZzrjd74,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-01-14T20:03:32Z,2025,1,1512127,81899,1582,"Pete Hegseth asked to explain what a ""jag-off"" is"
AHtafqy_hyo,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-01-07T23:00:05Z,2025,1,2248546,128023,4623,An apple a day keeps the left away
FqkKuc0wRX4,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-12-20T03:45:00Z,2024,12,1430169,51289,1452,Do you take offense to my first name?
9IWsMHzsN0w,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-12-20T03:00:08Z,2024,12,1709726,60680,1105,How Trump got what he wanted from Trudeau
9yZLmULgLQk,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-12-07T15:00:13Z,2024,12,917638,24455,5109,Ben Shapiro Reviews 'Wicked'
dL97Yb8t__Q,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-12-04T21:45:02Z,2024,12,897028,46396,608,We should all have the same right to take advantage of our OWN natural abilities
J2ba9PypZmU,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-12-04T04:00:09Z,2024,12,1747965,88768,3195,Hunter Biden can't plead the Fifth!
ydLvr5Xk4CQ,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-11-14T04:15:02Z,2024,11,1445376,89625,2369,That's not taking away ANYONE'S rights
NXPsj4JuVC0,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-11-14T04:10:00Z,2024,11,3063909,141443,2581,I'm telling you to leave me alone
3aUtYVr62lw,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-11-10T13:00:08Z,2024,11,1963939,41453,252,Harnessing the Power of AI | Avichal Garg
q7g5uXCN8Og,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-11-06T17:11:06Z,2024,11,1212370,42996,4185,TRUMP WINS!!!
neGWHZydtQ4,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-11-06T08:16:43Z,2024,11,2508298,39913,529,Election Night 2024 with The Daily Wire
SbySFnqNpo4,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-10-26T16:22:00Z,2024,10,2901845,98454,10048,Why Don't You Give It Back?
5r3WiCUdBMQ,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-10-22T04:00:04Z,2024,10,1728509,94516,2682,I can think of at least one...
wI6LxBkEKmA,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-10-22T03:15:02Z,2024,10,4160970,119432,10043,I can speak English...
iAjrwjD9GpY,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-10-16T23:16:49Z,2024,10,1691356,90982,7022,Ben Reacts: Kamala’s DISASTER Interview with Bret Baier
hSn-Bw8s4l0,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-10-02T03:12:28Z,2024,10,1687745,75384,4613,Ben Reacts to VP Debate: Walz Comes Crashing Down
hDnJAq7xnt8,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-09-24T21:00:22Z,2024,9,2298483,46963,8607,"Everyone in Hollywood Knew About Diddy's ""White Parties"""
FHPz58RpGvU,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-09-22T23:00:12Z,2024,9,23614518,628418,8241,Marriage is the answer
4iH76s7lhQE,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-09-15T19:00:02Z,2024,9,2400799,109456,9234,Maybe bring a backup copy of your speech
o2qm-2d4o4c,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-09-12T15:00:49Z,2024,9,2510604,240738,4536,The people at Trump rallies are nice people
7Hah-MI7CcM,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-09-02T15:00:09Z,2024,9,1550096,99225,848,This is a good rule
k2KbOV-id1U,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-08-25T01:00:32Z,2024,8,3912875,148702,13806,The mask slipped a little bit
Yk4Kk0ilRjY,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-08-22T01:00:17Z,2024,8,1562498,94905,13689,She's a fourth grader trying to write a 500-word essay
sYZ19Lh_iXA,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-08-17T17:00:40Z,2024,8,2644439,91249,3942,This is an incredible admission
4is_L8jgNTo,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-08-11T17:00:04Z,2024,8,2636394,185965,2168,"Naomi was never called ""Mara"" like she wanted to"
Bv4AkPmKbag,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-08-11T01:00:09Z,2024,8,1624030,112650,12420,She needs to be fired
BPQksRtxmCg,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-07-21T19:19:04Z,2024,7,1893851,63775,6064,Ben Shapiro Reacts: Biden Drops Out Of Presidential Race
